ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0354652728552,0.00774234932175,0.0733971999393,0.218619820393,0.664775357491
2,0.567298778883,0.00149901528124,0.0224331640143,0.254744652663,0.154024389159
3,0.488915195931,0.00466863057712,0.0297937875543,0.0779353626865,0.398687023251
4,0.119379896678,0.00929068369367,0.0650541104739,0.132198464298,0.674076844856
5,0.390400676874,0.00195131055342,0.0387656487144,0.331608313398,0.23727405046
6,0.328595473505,0.00171803964434,0.0472954487633,0.413482095045,0.208908943043
7,0.239105046094,0.0104677132028,0.236008979412,0.272876928889,0.241541332402
8,0.586603050033,0.00413223198234,0.0151392808349,0.038037730072,0.356087707078
9,0.801405857619,0.00130616329105,0.00663243753082,0.0569315694784,0.133723972081
10,0.472850101362,0.00202405989171,0.0218826509394,0.257123015887,0.24612017192
11,0.682086807451,0.00158989728498,0.00986801919006,0.111370843488,0.195084432586
12,0.0193339430334,0.0061458335986,0.186486445985,0.265092105356,0.522941672027
13,0.76952275708,0.00128464793735,0.00600632531028,0.0899884072505,0.133197862422
14,0.390400676874,0.00195131055342,0.0387656487144,0.331608313398,0.23727405046
15,0.649061684407,0.00146880528019,0.0119620222986,0.186587187929,0.150920300084
16,0.699210440947,0.00161845813289,0.00984960731534,0.0907325724838,0.198588921121
17,0.286947807872,0.00158526201227,0.0582299946484,0.460473390971,0.192763544497
18,0.328595473505,0.00171803964434,0.0472954487633,0.413482095045,0.208908943043
19,0.389697762494,0.00454522742524,0.0738586594579,0.143749585747,0.388148764875
20,0.0131184396588,0.0101555066435,0.273898189569,0.0959618904393,0.606865973689
21,0.426790015663,0.00475867652359,0.0558041477119,0.106270483586,0.406376676515
22,0.000990376389539,0.00894025713186,0.029823299083,0.00108427489279,0.959161792503
23,0.649061684407,0.00146880528019,0.0119620222986,0.186587187929,0.150920300084
24,0.00748973497656,0.0223233989971,0.0230223091575,0.00706832781239,0.940096229057
25,0.649061684407,0.00146880528019,0.0119620222986,0.186587187929,0.150920300084
26,0.488915195931,0.00466863057712,0.0297937875543,0.0779353626865,0.398687023251
27,0.869961764997,0.00199626275464,0.00598346880308,0.00806579577978,0.113992707666
28,0.172250801673,0.0112685288171,0.08739543055,0.0879399595899,0.64114527937
29,0.328595473505,0.00171803964434,0.0472954487633,0.413482095045,0.208908943043
30,0.390400676874,0.00195131055342,0.0387656487144,0.331608313398,0.23727405046
31,0.29602838583,0.00161529607062,0.0483208158513,0.45761989803,0.196415604218
